name_list_bosmer = {

	cadet_dynasty_names = {
		"dynn_Vanellion" "dynn_Springbrook" "dynn_Branck" "dynn_Forestwalker" "dynn_Endrand" 
		"dynn_Valefern" "dynn_Iyanden" "dynn_Greenleaf" "dynn_Redbranch" "dynn_Seedcatcher" "dynn_Stagfen" "dynn_Avbala" 
		"dynn_Ulthran" "dynn_Bluebrook" "dynn_Bluedale" "dynn_Bluehollow" "dynn_Bluelake" "dynn_Bluepool" "dynn_Bluerun" 
		"dynn_Blueshade" "dynn_Bluesky" "dynn_Bluethorn" "dynn_Bluevale" "dynn_Bluewind" "dynn_Bluewood" "dynn_Branck" 
		"dynn_Drurel" "dynn_Dornke" "dynn_Fernbrook" "dynn_Ferndale" "dynn_Fernhollow" "dynn_Fernlake" "dynn_Fernpool" 
		"dynn_Fernrun" "dynn_Fernshade" "dynn_Fernsky" "dynn_Fernthorn" "dynn_Fernvale" "dynn_Fernwind" "dynn_Fernwood" 
		"dynn_Forestbrook" "dynn_Forestdale" "dynn_Foresthollow" "dynn_Forestlake" "dynn_Forestpool" "dynn_Forestrun" 
		"dynn_Forestshade" "dynn_Forestsky" "dynn_Forestthorn" "dynn_Forestvale" "dynn_Forestwind" "dynn_Forestwood" 
		"dynn_Garnona" "dynn_Greenwood" "dynn_Helomaine" "dynn_Ivybrook" "dynn_Ivydale" "dynn_Ivyhollow" "dynn_Ivylake" 
		"dynn_Ivypool" "dynn_Ivyrun" "dynn_Ivyshade" "dynn_Ivysky" "dynn_Ivythorn" "dynn_Ivyvale" "dynn_Ivywind" "dynn_Ivywood" 
		"dynn_Ledure" "dynn_Marvos" "dynn_Mossbrook" "dynn_Mossdale" "dynn_Mosshollow" "dynn_Mosslake" "dynn_Mosspool" 
		"dynn_Mossrun" "dynn_Mossshade" "dynn_Mosssky" "dynn_Mossthorn" "dynn_Mossvale" "dynn_Mosswind" "dynn_Mosswood" 
